"filename", "language", "JavaScript", "JSON", "Batch", "PowerShell", "Objective-C", "C", "XML", "Groovy", "Java Properties", "Java", "Ini", "comment", "blank", "total"
"c:\HAMRANDROID\hamr-android\hamr\components\settings\settingsRouter.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 64
"c:\HAMRANDROID\hamr-android\hamr\components\sync\sync.js", "JavaScript", 587, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 81, 687
"c:\HAMRANDROID\hamr-android\hamr\components\~handMade\alphabetPicker.js", "JavaScript", 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39, 234
"c:\HAMRANDROID\hamr-android\hamr\components\~handMade\deleteModal.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 91
"c:\HAMRANDROID\hamr-android\hamr\components\~handMade\drawerItem.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 72
"c:\HAMRANDROID\hamr-android\hamr\components\~handMade\filterPicker.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 108
"c:\HAMRANDROID\hamr-android\hamr\components\~handMade\fourTable.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24, 146
"c:\HAMRANDROID\hamr-android\hamr\components\~handMade\input.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\HAMRANDROID\hamr-android\hamr\components\~handMade\item.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 59
"c:\HAMRANDROID\hamr-android\hamr\components\~handMade\numberPicker.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 84
"c:\HAMRANDROID\hamr-android\hamr\components\~handMade\rowInput.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 68
"c:\HAMRANDROID\hamr-android\hamr\components\~handMade\threeTable.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24, 148
"c:\HAMRANDROID\hamr-android\hamr\config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\HAMRANDROID\hamr-android\hamr\hoc\addHeader.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 84
"c:\HAMRANDROID\hamr-android\hamr\index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 9
"c:\HAMRANDROID\hamr-android\hamr\ios\hamrTests\hamrTests.m", "Objective-C", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 6, 16, 69
"c:\HAMRANDROID\hamr-android\hamr\ios\hamr\AppDelegate.h", "C", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 6, 5, 16
"c:\HAMRANDROID\hamr-android\hamr\ios\hamr\AppDelegate.m", "Objective-C", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 9, 39
"c:\HAMRANDROID\hamr-android\hamr\ios\hamr\Base.lproj\LaunchScreen.xib", "XML", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 1, 43
"c:\HAMRANDROID\hamr-android\hamr\ios\hamr\Images.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\HAMRANDROID\hamr-android\hamr\ios\hamr\Images.xcassets\Contents.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\HAMRANDROID\hamr-android\hamr\ios\hamr\main.m", "Objective-C", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 6, 4, 17
"c:\HAMRANDROID\hamr-android\hamr\metro.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 21
"c:\HAMRANDROID\hamr-android\hamr\navigation\nav.js", "JavaScript", 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 61, 405
